,rider_provider,0,1
1,1108524_2021,GrossMargin,0.7441182006399397
2,1108524_2021,WorkingCapitalRatio,1.2347134476534296
3,1108524_2021,EarningPerShare,4.430903155603917
4,1108524_2021,DebtToEquityRatio,0.427252789627166
5,1108524_2021,PEratio,
6,1108524_2021,ReturnOfEquity,9.813703516255753
7,1108524_2021,EBIDTAratio,5893000000.0
8,1108524_2021,EvRatio,
9,1108524_2021,EVbyEbidta,
10,1108524_2021,ChurnRate,0.0
11,1108524_2021,GrowthRate,
12,1108524_2021,ProfitMargin,0.0
13,1108524_2021,RuleOf40,
14,1108524_2021,MarketCap,
15,1108524_2021,MagicNumber,
1,1108524_2020,GrossMargin,0.752310211720669
2,1108524_2020,WorkingCapitalRatio,1.0753115527113506
3,1108524_2020,EarningPerShare,0.14109742441209405
4,1108524_2020,DebtToEquityRatio,0.438099454035709
5,1108524_2020,PEratio,
6,1108524_2020,ReturnOfEquity,0.37184594953519257
7,1108524_2020,EBIDTAratio,4532000000.0
8,1108524_2020,EvRatio,
9,1108524_2020,EVbyEbidta,
10,1108524_2020,ChurnRate,0.0
11,1108524_2020,GrowthRate,
12,1108524_2020,ProfitMargin,0.0
13,1108524_2020,RuleOf40,
14,1108524_2020,MarketCap,
15,1108524_2020,MagicNumber,
1,1585521_2021,GrossMargin,0.6899755145268405
2,1585521_2021,WorkingCapitalRatio,3.8039637577521934
3,1585521_2021,EarningPerShare,3.1163551939991785
4,1585521_2021,DebtToEquityRatio,0.32635121466796624
5,1585521_2021,PEratio,
6,1585521_2021,ReturnOfEquity,17.41405269989098
7,1585521_2021,EBIDTAratio,1481837000.0
8,1585521_2021,EvRatio,
9,1585521_2021,EVbyEbidta,
10,1585521_2021,ChurnRate,0.0
11,1585521_2021,GrowthRate,
12,1585521_2021,ProfitMargin,0.0
13,1585521_2021,RuleOf40,
14,1585521_2021,MarketCap,
15,1585521_2021,MagicNumber,
1,1585521_2020,GrossMargin,0.8146719386886542
2,1585521_2020,WorkingCapitalRatio,3.2816763023095588
3,1585521_2020,EarningPerShare,0.16290414527606917
4,1585521_2020,DebtToEquityRatio,0.40030313822407526
5,1585521_2020,PEratio,
6,1585521_2020,ReturnOfEquity,3.034380047557207
7,1585521_2020,EBIDTAratio,128092000.0
8,1585521_2020,EvRatio,
9,1585521_2020,EVbyEbidta,
10,1585521_2020,ChurnRate,0.0
11,1585521_2020,GrowthRate,
12,1585521_2020,ProfitMargin,0.0
13,1585521_2020,RuleOf40,
14,1585521_2020,MarketCap,
15,1585521_2020,MagicNumber,
1,796343_2021,GrossMargin,
2,796343_2021,WorkingCapitalRatio,
3,796343_2021,EarningPerShare,
4,796343_2021,DebtToEquityRatio,
5,796343_2021,PEratio,
6,796343_2021,ReturnOfEquity,
7,796343_2021,EBIDTAratio,
8,796343_2021,EvRatio,
9,796343_2021,EVbyEbidta,
10,796343_2021,ChurnRate,
11,796343_2021,GrowthRate,
12,796343_2021,ProfitMargin,
13,796343_2021,RuleOf40,
14,796343_2021,MarketCap,
15,796343_2021,MagicNumber,
1,796343_2020,GrossMargin,
2,796343_2020,WorkingCapitalRatio,
3,796343_2020,EarningPerShare,
4,796343_2020,DebtToEquityRatio,
5,796343_2020,PEratio,
6,796343_2020,ReturnOfEquity,
7,796343_2020,EBIDTAratio,
8,796343_2020,EvRatio,
9,796343_2020,EVbyEbidta,
10,796343_2020,ChurnRate,
11,796343_2020,GrowthRate,
12,796343_2020,ProfitMargin,
13,796343_2020,RuleOf40,
14,796343_2020,MarketCap,
15,796343_2020,MagicNumber,
